id,标题,作者,来源,时间,邮箱
163,Prevalence of Abnormal Coronary Function in Patients With Angina and No Obstructive Coronary Artery Disease on Coronary Computed Tomography Angiography: Insights From the CorCTA Trial,Taqueti Viviany R.,Circulation,2024-01-02,
164,Applicability of artificial intelligence-based computer-aided detection (AI-CAD) for pulmonary tuberculosis to community-based active case finding.,Okada Kosuke;Yamada Norio;Takayanagi Kiyoko;Hiasa Yuta;Kitamura Yoshiro,Tropical medicine and health,2024-01-02,
165,Predicting the quality attributes related to geographical growing regions in red-fleshed kiwifruit by data fusion of electronic nose and computer vision systems.,Asadi Mojdeh;Ghasemnezhad Mahmood;Bakhshipour Adel;Olfati JamalAli;Mirjalili Mohammad Hossein,BMC plant biology,2024-01-02,
166,Artificial intelligence for oral squamous cell carcinoma detection based on oral photographs: A comprehensive literature review.,de Chauveron Jérôme;Unger Max;Lescaille Géraldine;Wendling Laurent;Kurtz Camille,Cancer medicine,2024-01-02,
167,Cystic renal mass screening: machine-learning-based radiomics on unenhanced computed tomography.,Huang Lesheng;Ye Yongsong;Chen Jun;Feng Wenhui;Peng Se,"Diagnostic and interventional radiology (Ankara, Turkey)",2024-01-02,
168,The importance of bone density and anatomical structure in superior semicircular canal dehiscence.,Berkiten Güler;Çelik Cem;Tunç Melis Koşar;Gürbüz Defne;Bircan Hasan Sami,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,2024-01-02,
169,Hexadecanoic acid analogs as potential CviR-mediated quorum sensing inhibitors in Chromobacterium violaceum: an in silico study.,Senthil Renganathan;Archunan Govindaraju;Vithya Dharmaraj;Saravanan Konda Mani,Journal of biomolecular structure & dynamics,2024-01-02,
170,Identification of a Sonically Activated Degrader of Methionine Adenosyltransferase 2A by an in Silico Approach Assisted with the Hole-Electron Analysis.,He Huan;Wang Ziwei;Peng Xueke;Qing Luolong;Zhang Yu,Journal of medicinal chemistry,2024-01-02,
171,Fully Automated Agatston Score Calculation From Electrocardiography-Gated Cardiac Computed Tomography Using Deep Learning and Multi-Organ Segmentation: A Validation Study.,Gautam Ashish;Raghav Prashant;Subramaniam Vijay;Kumar Sunil;Kumar Sudeep,Angiology,2024-01-02,
172,深研潜行，发现之路更坚实,,科技日报,2024-01-02,
173,嵌入式系统“FPGA+SoC”实践教学体系内容重构,高俊枫;黄乐天;胡庆,高等工程教育研究,2024-01-01,
174,基于机器视觉的呼出气体酒精含量检测仪自动检定装置,张湖波;邹细勇;邵建文;赵存彬;骆蕾,现代电子技术,2024-01-01,
175,基于机器视觉的钢水自动化取样,黄莉;邢津榕;武迎春,现代电子技术,2024-01-01,
176,基于用户画像的暖通空调智能调控,胡锐;袁海峰;芮忠,现代电子技术,2024-01-01,
177,基于随机循环网络的汉字骨架生成,高奕星;施霖,现代电子技术,2024-01-01,
178,汽车智能驾舱驾驶疲劳检测系统设计,柏俊波;周涛琪;柏俊杰,现代电子技术,2024-01-01,
179,基于神经网络算法的LCDs模组强度提升研究,余平甲;刘巍;孙艳生;查国平;张智;,现代电子技术,2024-01-01,
180,An in silico approach to decipher immunogenic epitopes in Toxoplasma gondii GRA1 and GRA3,Safari Narges;Khodaei Ardakan Alireza;Hamedi Erfan;Kalantarzadeh Faezeh;Kaveh Pedram,Informatics in Medicine Unlocked,2024-01-01,
181,A comprehensive review of discovery and development of drugs discovered from 2020–2022,Shareef Usman;Altaf Aisha;Ahmed Madiha;Akhtar Nosheen;Almuhayawi Mohammed S.,Saudi Pharmaceutical Journal,2024-01-01,
182,Evolutionary deep learning for computer vision and image processing,Al-Sahaf Harith;Mesejo Pablo;Bi Ying;Zhang Mengjie,Applied Soft Computing,2024-01-01,
183,Phenotyping Coronary Plaque by Computed Tomography in Premature Coronary Artery Disease,Rahoual G.;Zeitouni M.;Charpentier E.;Ritvo P.-G.;Rouanet S.,Archives of Cardiovascular Diseases,2024-01-01,
184,Hemodynamics of proximal coronary lesions in patient undergoing aortic valve replacement: Patient-specific in silico study,Bellouche Y.;Abdelli S.;Hannachi S.;Benic C.;Nicol P.-P.,Archives of Cardiovascular Diseases,2024-01-01,
185,Synthetic data augmentation by diffusion probabilistic models to enhance weed recognition,Chen Dong;Qi Xinda;Zheng Yu;Lu Yuzhen;Huang Yanbo,Computers and Electronics in Agriculture,2024-01-01,
186,Fibre and failure characterization in long glass fibre reinforced polypropylene by X-ray computed tomography,Maurer Julia;Salaberger Dietmar;Jerabek Michael;Fröhler Bernhard;Kastner Johann,Polymer Testing,2024-01-01,
187,The Probability of Metastases Within Different Prostate-specific Antigen Ranges Using Prostate-specific Membrane Antigen Positron Emission Tomography in Patients with Newly Diagnosed Prostate Cancer,Luining Wietske I.;Hagens Marinus J.;Meijer Dennie;Ringia Joanneke B.;de Weijer Tessa,European Urology Open Science,2024-01-01,
188,Computed Tomography Reconstruction from Undersampled Data: An Application to Biomedical Imaging,Zenith Purisha,IAENG International Journal of Applied Mathematics,2024-01-01,
189,"Comments on: Regarding ""A study on correlation of computer vision syndrome and dry eye disease and knowledge regarding its associated factors among health professionals"".",Iqbal Mohammed;Said Omar,Indian journal of ophthalmology,2024-01-01,
190,X-ray-induced acoustic computed tomography and its applications in biomedicine.,Yan Yuchen;Xiang Shawn Liangzhong,Journal of biomedical optics,2024-01-01,
191,The interoperability of crystallographic data and databases.,Brink Alice;Bruno Ian;Helliwell John;McMahon Brian,IUCrJ,2024-01-01,
192,Technical note: Excel spreadsheet calculation of the Henssge equation as an aid to estimating postmortem interval,Otatsume Masaomi;Shinkawa Norihiro;Tachibana Myu;Kuroki Hisanaga;Ro Ayako,Journal of Forensic and Legal Medicine,2024-01-01,
193,A reference equation for lung volume on computed tomography in Japanese middle-aged and elderly adults,Tanabe Naoya;Sato Susumu;Shimada Takafumi;Kaji Shizuo;Shiraishi Yusuke,Respiratory Investigation,2024-01-01,
194,"Safety, tolerability, and efficacy of NLY01 in early untreated Parkinson's disease: a randomised, double-blind, placebo-controlled trial",McGarry Andrew;Rosanbalm Shane;Leinonen Mika;Olanow C Warren;To Dennis,The Lancet Neurology,2024-01-01,
195,Diagnosis of pancreatic focal nesidioblastosis assisted by dual‑nuclide tracer positron emission tomography/computed tomography: A case report.,Zhu Guangwen;Xie Liting;Hu Xianwen,Experimental and therapeutic medicine,2024-01-01,
196,Very Rare Liver Tumor: PEComa Case Report with and a Review of Literature.,Yazıcı Celal;Gündoğdu Elif,The Indian journal of radiology & imaging,2024-01-01,
197,Spectrum of Multidetector Computed Tomography Imaging Findings in Iatrogenic Abdominopelvic Injuries: A Comprehensive Pictorial Review.,Subramanian Pavithra;Sharma Arun;Soundararajan Raghuraman;Singhal Manphool,The Indian journal of radiology & imaging,2024-01-01,
198,Deep learning in vivo catheter tip locations for photoacoustic-guided cardiac interventions.,Gubbi Mardava R;Assis Fabrizio;Chrispin Jonathan;Bell Muyinatu A Lediju,Journal of biomedical optics,2024-01-01,
199,Effects of Home-Based Computerized Cognitive Training in Community-Dwelling Adults With Mild Cognitive Impairment.,Baik Ji Soo;Min Ji Hong;Ko SungHwa;Yun Mi Sook;Lee Byunghoon,IEEE journal of translational engineering in health and medicine,2024-01-01,
200,Adaptive t-vMF dice loss: An effective expansion of dice loss for medical image segmentation,Kato Sota;Hotta Kazuhiro,Computers in Biology and Medicine,2024-01-01,
201,Fixed and Relative Positioning of Scans for High Resolution Peripheral Quantitative Computed Tomography,Bugbird Annabel R.;Klassen Rachel E.;Bruce Olivia L.;Burt Lauren A.;Edwards W. Brent,Journal of Clinical Densitometry,2024-01-01,
202,Central insulin dysregulation in antipsychotic-naïve first-episode psychosis: In silico exploration of gene expression signatures,Lee Jiwon;Xue Xiangning;Au Emily;McIntyre William B.;Asgariroozbehani Roshanak,Psychiatry Research,2024-01-01,
203,Optimizing Computer-Aided Diagnosis with Cost-Aware Deep Learning Models.,Patel Charmi;Wang Yiyang;Ramaraj Thiruvarangan;Tchoua Roselyne;Furst Jacob,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,2024-01-01,
204,Health Data Sharing with the Goal of Value Creation; Trying to Develop a Framework Using Qualitative Content Analysis.,Zonoobi Mojtaba;Elahi Shaban;Khansari Mohammad;Hassanzadeh Alireza;Saheb Tahereh,Archives of academic emergency medicine,2024-01-01,
205,Arterial Perfusion of the Medial Femoral Trochlea Flap: Elucidation of Perfusion By Micro-Computed Tomographic Angiography,Abadeer Andrew I.;Hembd Austin;Brooks Daina;Cunningham Bryan W.;Higgins James P.,Plastic & Reconstructive Surgery-Global Open,2024-01-01,
206,Toward the Deimplementation of Computed Tomography Urogram for Patients With Low- to Intermediate-risk Microscopic Hematuria: A Mixed-method Study of Factors Influencing Continued Use.,,Urology practice,2024-01-01,
207,Perfusion vs non-perfusion computed tomography imaging in the late window of emergent large vessel ischemic stroke: A systematic review and meta-analysis.,Diestro Jose Danilo B;Omar Abdelsimar T;Zhang YuQing;Kishibe Teruko;Mastrolonardo Alexander,PloS one,2024-01-01,
208,Darcy-Forchheimer flow with viscoelastic Cattaneo-Christov heat flux model and nonlinear thermal radiation: A numerical investigation,Ghazwani Hassan Ali;Ijaz Misbah;Nadeem Sohail;Khan Hammad;Alzabut J.,Case Studies in Thermal Engineering,2024-01-01,
209,Retrospective reconstruction of four-dimensional magnetic resonance from interleaved cine imaging – A comparative study with four-dimensional computed tomography in the lung,Peteani Giulia;Paganelli Chiara;Giovannelli Anna Chiara;Bachtiary Barbara;Safai Sairos,Physics and Imaging in Radiation Oncology,2024-01-01,
210,OR287 - RIGHT MAXILLARY TUMOR WITH IMPACTED TEETH — COMPUTER-AIDED SURGERY,Hsien Y.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
211,P132 - EVALUATION OF THE IMPACTED MAXILLARY THIRD MOLARS' ROOT USING A DENTAL CONE-BEAM COMPUTED TOMOGRAPHY IN A JAPANESE POPULATION AND COMPARISON WITH PANORAMIC RADIOGRAPHS,Ogawa A.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
212,OR304 - LOOP-X! THE FIRST 150 CASES OF INTRAOPERATIVE CONE-BEAM COMPUTED TOMOGRAPHY,Enzinger S.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
213,OR344 - EVALUATION OF NASOPHARYNGEAL DIMENSIONS THROUGH COMPUTED TOMOGRAPHY AND MODIFIED ANTERIOR RHINOMANOMETRY IN PATIENTS WITH CLEFT LIP AND PALATE SUBMITTED TO ORTHOGNATHIC SURGERY,Medeiros M.;Medeiros M.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
214,P136 - CONE-BEAM COMPUTED TOMOGRAPHY IMAGE ACQUISITION X ORIENTATION IN VIRTUAL PLANNING: WHAT CHANGES IN HEAD POSITION?,Thereza-Bussolaro C.;Candido I.;Zanatta E.;Queiroz F.;Gialain I.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
215,"OR195 - MINIMALLY-INVASIVE DEEP CIRCUMFLEX ILIAC ARTERY FLAP WITHOUT CREST, SPINE AND SKIN TO RECONSTRUCT COMPOSITE DEFECTS OF THE MANDIBLE USING VIRTUAL SURGICAL PLANNING AND COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING TECHNOLOGY",Bissinger O.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
216,P093 - THE HOUNSFIELD UNIT AND MAXIMUM STANDARDIZED UPTAKE VALUE OF SINGLE-PHOTON EMISSION COMPUTED TOMOGRAPHY/COMPUTED TOMOGRAPHY IN TEMPOROMANDIBULAR JOINT OSTEOARTHRITIS PATIENTS,Jeong Y.;Jung J.;Park Y.;Kim J.;Huh J.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
217,P131 - EFFICACY OF QUANTITATIVE SINGLE-PHOTON EMISSION COMPUTED TOMOGRAPHY/COMPUTED TOMOGRAPHY IN MEDICATION-RELATED OSTEONECROSIS OF THE JAW,Kono M.;Sugisaki R.;Ekoshi M.;Fujii Y.;Chikazu D.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
218,OR302 - EVALUATION OF THE ACCURACY OF COMPUTER-GUIDED REDUCTION USING MANUALLY ADAPTED MINIPLATES ON STEREOLITHOGRAPHIC MODELS IN ORBITOZYGOMATICOMAXILLARY COMPLEX FRACTURES — A PILOT STUDY,Bagadia R.;Giri G.V.V.;Ravindran C.;Kumar N.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
219,OR049 - COMPUTED TOMOGRAPHY CHARACTERIZATION DIFFERENCES BETWEEN OPERATED AND UNOPERATED ORBITAL INJURIES,Burns S.;Lan G.;Kesterke M.;Sankaranarayanan G.;Bhattacharjee R.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
220,P129 - FIVE-YEAR EXPERIENCE IN CUSTOM COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING POLYETHERETHERKETONE IMPLANTS FOR COMPLEX ORBITOCRANIAL RECONSTRUCTION,Cardenas C.;Flores A. Simón;González Jiménez A.;de Leyva P.;Sánchez-Jáuregui Alpañés E.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
221,OR196 - MAXILLARY RECONSTRUCTION WITH A SCAPULA TIP FREE FLAP AND IMMEDIATE IMPLANTATION USING VIRTUAL SURGICAL PLANNING AND COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING TECHNOLOGY,Maier E.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
222,OR336 - COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING ASSISTED ORTHOGNATHIC SURGERY,Choi J.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
223,OR107 - CLINICAL APPLICATION OF FOUR-DIMENSIONAL COMPUTED TOMOGRAPHY FOR THE PREOPERATIVE EVALUATION OF VELOPHARYNGEAL CLOSURE FUNCTION,Kobayashi Y.;Nakajima Y.;Aizawa T.;Sato K.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
224,Computer-aided ligand screening to develop polymer-free catalyst in Cr-catalyzed ethylene oligomerization,Peng Jiale;Mei Yu;Chen Long;Zhu Mengyu;Liu Zhen,Journal of Catalysis,2024-01-01,
225,“中国操作系统的根立住了”,秦枭,中国经营报,2024-01-01,
226,苏州相城区：让更多科研成果从实验室走向生产线,张晔,科技日报,2024-01-01,
227,互联网时代下慈善创新与监管探讨,孙晓彤,廊坊师范学院学报(自然科学版),2023-12-31,
228,燃料辐照配套热室共用通风系统技术研究,徐娜;罗伟涛;丁璐;薛宇,暖通空调,2023-12-31,
229,Unveiling facial kinship: The BioKinVis dataset for facial kinship verification and genetic association studies.,Yu Jian;Jin Xiaozhe;Du Weijie;Bai Yantong;Zhou Xin,Electrophoresis,2023-12-31,
230,Application of optimized CNN algorithm in landslide boundary detection,Qiao Yun,Journal of Measurements in Engineering,2023-12-31,
231,虚拟现实技术在中职英语教学中的应用,胡刚,知识窗(教师版),2023-12-31,
232,虚拟现实技术融入高职院校药学专业课程的实践效果研究,王健;薛菲;郭凯蕾,黑龙江科学,2023-12-30,
233,基于正交试验的透平叶片气膜冷却仿真与预测,王正杰;何洪斌;张席;陈洁怡,能源与环境,2023-12-30,
234,高寒高海拔地区碾压混凝土坝VC值动态控制,郑宏杰;贾超;高飞,人民黄河,2023-12-30,
235,智慧水利水土保持分系统构建及应用,张红丽;林丽萍;赵永军;罗志东,人民黄河,2023-12-30,
236,辽宁省旅游产业开发对虚拟现实技术的应用研究,张红;肖悦,对外经贸,2023-12-30,
237,成都职业技术学校,,教育科学论坛,2023-12-30,
238,低剂量头颈CTA及全脑CTP技术在颈动脉源性脑灌注异常评估中的应用,蔡培坤;陈杰彬;蔡勇;梁焕;梁晖辉;,广东医科大学学报,2023-12-30,
239,中国式科技原创的基本路径——科技文化视野下的中国原创之路,朱亚宗,高等教育研究学报,2023-12-30,
240,智能化背景下汽车区间测速教学仿真实验的开发与实践,郭展宏;王红飙;范修文,汽车实用技术,2023-12-30,
241,基于模板匹配的汽车堵件漏装检测系统设计与应用,陈涛;肖方挺;吴梓华,汽车实用技术,2023-12-30,
242,“嵌入式系统”实验教学的改革与探索,王梦觉;梁丽丽,科技风,2023-12-30,
243,计算机专业新生开设“计算机专业英语”课程的教学探讨,杨建强;杭波;王敏;黄小童;郑毅,科技风,2023-12-30,
244,技工学校“计算机基础与应用”课程一体化教学实践与探索,丁娜娜,科技风,2023-12-30,
245,新发展阶段河北省制造业高质量发展着力点探析,尹彦罡;魏芳;高艳,河北经贸大学学报(综合版),2023-12-30,
246,Use of Computed Tomography-Based Texture Analysis to Differentiate Benign From Malignant Salivary Gland Lesions.,Shuqi Jiang;Su Yangfan;Liu Yanwen;Zhou Zewang;Li Maotong,Journal of computer assisted tomography,2023-12-30,
247,Synergy of polymyxin B and minocycline against KPC-3- and OXA-48-producing Klebsiella pneumoniae in dynamic time-kill experiments: agreement with in silico predictions.,Olsson Anna;Malmberg Christer;Zhao Chenyan;Friberg Lena E;Nielsen Elisabet I,The Journal of antimicrobial chemotherapy,2023-12-30,
248,Automation of Functional Mobility Assessments at Home Using a Multimodal Sensor System Integrating Inertial Measurement Units and Computer Vision (IMU-Vision).,Spangler Johanna;Mitjans Marc;Collimore Ashley;GomesPires Aysha;Levine David M,Physical therapy,2023-12-30,
249,Quarter Century PET/Computed Tomography Transformation of Oncology: Neuroendocrine Tumors.,Marcus Charles;Muzahir Saima;Subramaniam Rathan M,PET clinics,2023-12-30,
250,Preoperative CT-imaging with patient-specific computer simulation in transcatheter aortic valve implantation: Design and rationale of the GUIDE-TAVI trial.,Hegeman Romy R M J J;van Ginkel DirkJan;Längle Severin;Timmers Leo;Rensing Benno J W M,American heart journal,2023-12-30,
251,"Tooth morphology, internal fit, occlusion, and proximal contacts of dental crowns designed by deep learning-based dental software: A comparative study.",Cho JunHo;Çakmak Gülce;Yi Yuseung;Yoon HyungIn;Yilmaz Burak,Journal of dentistry,2023-12-30,
252,科学家开发出自组装发光治疗蛋白,张佳欣,科技日报,2023-12-30,
253,机构调研热情不减 覆盖度再提升,李曼宁,证券时报,2023-12-30,
254,医学影像学技术用于乳腺肿瘤诊断价值研究进展,唐睿,中国辐射卫生,2023-12-29 18:27,
255,基于样本扩充网络的水声目标分类模型优化算法,张博轩;赵天白;常振兴;蒋翔宇;王少博,计算机测量与控制,2023-12-29 16:37,
256,数字法学形构的法哲学进路,江河,政法论坛,2023-12-29 16:26,
257,基于深度学习的竞技体育运动表现视频分析研究进展,职国宇;李瑞杰;宋业猛;冯加付,西安体育学院学报,2023-12-29 15:29,
258,基于机器视觉转子冲片亚像素精度尺寸测量研究,顾良玉;吴继薇,计算机测量与控制,2023-12-29 15:08,
259,耦合风速测量的风力机时空尾流重构,王龙滟;陈梦;袁建平,排灌机械工程学报,2023-12-29 14:51,
260,基于神经网络的工业机器人视觉抓取系统设计,燕硕;李建松,计算机测量与控制,2023-12-29 14:18,
261,基于浮选泡沫图像预测精矿品位的研究进展,卜显忠;杨怡琳;宛鹤,金属矿山,2023-12-29 14:02,
262,神经辐射场加速算法综述,王稚儒;常远;鲁鹏;潘成伟,图学学报,2023-12-29 13:04,
263,基于RBF神经网络的BDS接收机作战效能评估,李奎;张侹;王华;廖斌;吴娟,导航定位学报,2023-12-29 09:35,
264,基于BP神经网络的上海生鲜农产品物流需求预测,郝杨杨;邹宇,上海海事大学学报,2023-12-29 09:08,
265,基于多线程加速的STEP标准并行解析算法,毕玉莉;刘嘉政;杨义军;曾薇;雍俊海,计算机辅助设计与图形学学报,2023-12-29 08:56,
266,虚拟现实技术在高校教育教学中的应用策略研究,周硕,陕西教育(高教),2023-12-29,
267,事业单位会计信息化建设初探,魏彤彤;国甜甜;韩璐,中国农业会计,2023-12-29,
268,腓骨远端CT值在评价老年人踝关节骨折骨密度中的应用,张泽锋;由晓萱;林树峰;颜逸鹏;郭辉洋;,生物医学转化,2023-12-29,
269,Barriers and facilitators to adoption of e-learning in higher education institutions of Pakistan during COVID-19: perspectives from an emerging economy,Qazi Muhammad Arsam;Sharif Muhammad Aiyaz;Akhlaq Ather,Journal of Science and Technology Policy Management,2023-12-29,
270,Using Artificial Intelligence as a Melanoma Screening Tool in Self-Referred Patients.,Crawford Madeleine E;Kamali Kiyana;Dorey Rachel A;MacIntyre Olivia C;Cleminson Kristyna,Journal of cutaneous medicine and surgery,2023-12-29,
271,Voxel-based dysconnectomic brain morphometry with computed tomography in Down syndrome.,SánchezMoreno Beatriz;Zhang Linda;Mateo Gloria;Moldenhauer Fernando;Brudfors Mikael,Annals of clinical and translational neurology,2023-12-29,
272,Effect of Feedback Modality on Simulated Surgical Skills Learning Using Automated Educational Systems- A Four-Arm Randomized Control Trial.,Yilmaz Recai;Fazlollahi Ali M;WinklerSchwartz Alexander;Wang Anna;Makhani Hafila Hassan,Journal of surgical education,2023-12-29,
273,Anomalous origin of the right coronary artery originating from the pulmonary trunk: pre- and postoperative computed tomography images and virtual reality reconstructions.,Suchodolski Alexander;Gałeczka Michał;Szulik Mariola;Fiszer Roland;Głowacki Jan,Coronary artery disease,2023-12-29,
274,Association between bone mineral density and coronary plaque burden in patients with coronary artery disease: a cross-sectional study using quantitative computed tomography.,Geng Guang;Li Zhen;Wang Shuai;Yuan Tao;Quan Guanmin,Coronary artery disease,2023-12-29,
275,A Navigation Algorithm to Enable Sustainable Control of Insect-Computer Hybrid Robot with Stimulus Signal Regulator and Habituation-Breaking Function.,Li Rui;Lin Qifeng;Kai Kazuki;Nguyen Huu Duoc;Sato Hirotaka,Soft robotics,2023-12-29,
276,In silico prediction and in vitro assessment of novel heterocyclics with antimalarial activity.,Orozco Martha Ilce;Moreno Pedro;Guevara Miguel;Abonia Rodrigo;Quiroga Jairo,Parasitology research,2023-12-29,
277,解码量子信息如何形成新质生产力,张赛男,21世纪经济报道,2023-12-29,
278,区域划分在自相交多边形分解算法中的应用,赵启;曾薇;杨义军,计算机辅助设计与图形学学报,2023-12-28 18:43,
279,融合多头自注意力的AeroMACS自适应调制编码算法,程龙;孟繁栋;毛建华;袁树德;姜博文,电光与控制,2023-12-28 16:39,
280,适用于不同款式的无监督服装动画预测,石敏;禚心如;孙碧莲;韩国庆;朱登明,图学学报,2023-12-28 16:38,
281,电池储能系统绝缘电阻检测方法误差分析,张杰;吴成辉;潘明俊;赵天恩,储能科学与技术,2023-12-28 15:54,
282,基于计算机视觉的黄颡鱼表型特征测量和体重预测模型研究,何志鹏;巩高瑞;熊阳;蒋有渤;胡景琦;,水生生物学报,2023-12-28 14:53,
283,基于超网络理论的高铁快运枢纽节点选址与分级研究,王玥;朱晓宁;刘韵光,铁道运输与经济,2023-12-28 14:34,
284,云计算环境下基于全同态加密的神经网络分类预测研究,杨雄;徐慧华,贵州大学学报(自然科学版),2023-12-28 12:03,
285,基于传统方法与深度学习方法的图片相似度算法比较,王华溢;黄要诚;蔡波,计算机系统应用,2023-12-28 10:57,
286,基于多尺度特征深度神经网络的不同产地山楂细粒度图像识别,谭超群;秦中翰;黄欣然;陈虎;黄永亮;,四川大学学报(自然科学版),2023-12-28 10:09,
287,拦截弹复合控制半实物仿真系统设计与实现,邓晨;陈功;敖厚军;任斯远;杜文涛,北京航空航天大学学报,2023-12-28 08:51,
288,离散粒子群算法求解带役龄维护的不相关并行机调度问题,高佳;谭园园;李冬;张俊;王艳红,计算机集成制造系统,2023-12-28 08:19,
289,计算机图形图像处理软件在平面广告设计中的应用,郝燕,品牌与标准化,2023-12-28,
290,探析计算机网络技术在电子信息工程中的应用研究,郝江,品牌与标准化,2023-12-28,
291,基于单片机的智能化磁罗经自差自测自校系统设计,季禹;季本山;方泉根,上海海事大学学报,2023-12-28,
292,高速铁路联调联试车务系统前期介入及行车安全关键研究,杨新春,铁路技术创新,2023-12-28,
293,使用互联网有助于提高农村老人幸福感吗？——基于CFPS追踪调查数据的分析,李静;郭烨凌,南京医科大学学报(社会科学版),2023-12-28,
294,分数阶计算机病毒模型的稳定性与分岔分析,鞠雅雯;肖敏;丁洁;杨鑫松,计算技术与自动化,2023-12-28,
295,基于城市水环境治理下的建设项目管理数字化系统的构建,秦梅,水电站设计,2023-12-28,
296,基于机器视觉的多巷道自动化立体仓库货位透明化分配方法,东纯海,计算技术与自动化,2023-12-28,
297,基于乡村振兴的高职虚拟现实技术人才培养实践研究,莫文水,湖北开放职业学院学报,2023-12-28,
298,基于机器视觉的物料自动分拣实验平台设计,盖文东;刘雅琨;荆刚;张婧;卢晓,实验室科学,2023-12-28,
299,基于样本间潜在关系的多变量时间序列分类,唐胜唐;吴共庆;台昌杨;杨泽;张赞,合肥工业大学学报(自然科学版),2023-12-28,
300,“多测合一”信息管理系统设计与实践——以鄂州为例,蔡为;王均浩;孟晓赟;郭明强,地理空间信息,2023-12-28,
301,基于卷积神经网络的压裂停泵数据滤波方法,徐靓;李道伦;查文舒,合肥工业大学学报(自然科学版),2023-12-28,
302,鱼虾分级技术装备研究现状及展望,熊师;柴长虹;冯云云;卫强;潘明钊;,现代农业装备,2023-12-28,
303,Flexural strength of a polymethylmethacrylate resin produced by computer‐aided design and computer‐aided manufacturing system after repeated usage of tungsten carbide burs and thermocycling,P. Oyar;M. Ulusoy;R. Durkan;N. Ulusoy,Materialwissenschaft und Werkstofftechnik,2023-12-28,
304,Anomalous segmental dynamics of supercooled polyrotaxane melts: A computer simulation study.,Jia XiangMeng;Zhou Jiajia,The Journal of chemical physics,2023-12-28,
305,"Correction to: Pathology-based radiation dose in computed tomography: investigation of the effect of lung lesions on water-equivalent diameter, CTDIVol and SSDE in COVID-19 patients.",,Radiation protection dosimetry,2023-12-28,
306,A counterexample to a conjecture on simultaneous Waring identifiability,"Angelini, Elena;",《Journal of symbolic computation》,"2024,",
307,POTENTIAL SECURITY ATTACKS VIA THE ILLEGAL DISTRIBUTION OF SINGLE BOARD COMPUTERS,I. V. Kalinin;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
308,Quantum computers may have found a practical use,Alex Wilkins;,《New scientist》,"2023,",
309,Co-Designed Architectures for Modular Superconducting Quantum Computers,Evan McKinney;Mingkang Xia;,"《2023 IEEE International Symposium on High-Performance Computer Architecture: IEEE International Symposium on High-Performance Computer Architecture (HPCA), 25 February - 1 March 2023, Montreal, QC, Canada》","2023,",
310,AUTOMATED DETECTION OF PAVEMENT DEFECTS USING COMPUTER VISION,Michal Prochazka;Robert Pinkas;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
311,Computers as Interactive Machines: Can We Build an Explanatory Abstraction?,Alice Martin;Mathieu Magnaudet;,《Minds and machines》,"2023,",
312,Comparison of heuristic approaches to PCI planning for Quantum Computers,Giuseppe Barillaro;Andrea Boella;,"《2023 IEEE International Conference on Consumer Electronics: IEEE International Conference on Consumer Electronics (ICCE), 6-8 January 2023, Las Vegas, NV, USA》","2023,",
313,Noisy intermediate-scale quantum computers,Bin Cheng;Xiu-Hao Deng;,《Frontiers of physics》,"2023,",
314,Unified Programming Models for Heterogeneous High-Performance Computers,马子轩;金煜阳;,《计算机科学技术学报：英文版》,"2023,",
315,COMPUTER SIMULATION USE IN DESIGN GATING SYSTEM OF CAST MADE FROM THE CAST IRON,Ing. Peter Futas;Vladimir Sabik;,"《22nd International Multidisciplinary Scientific GeoConference(SGEM 2022): Informatices, Geoinformatics, and Remote Sensing: Albena, Bulgaria, 4-10 July 2022》","2023,",
316,Detecting Height of Liquid Level with Computer Vision for Twin-roll Strip Casting,"Chen, Dong;Tang, Yang;",《ISIJ International》,"2023,",
